x11;x12;x21;x22;x31;x32;x33;y1;y2;y3;y4;
2,050;22,015;1,050;4,015;5,0;1,0;8,100;154,621;158,145;219,406;227,683;
5,150;16,100;1,150;9,109;15,800;2,100;4,200;398,163;173,368;192,651;190,123;
8,200;10,125;1,192;14,125;22,500;2,500;3,500;587,411;271,084;187,691;183,576;
11,250;4,175;1,250;19,175;28,700;3,510;2,720;767,197;383,567;78,793;174,789;
14,325;1,200;4,325;24,198;34,500;4,200;2,530;966,547;493,813;79,497;154,316;
17,350;0,250;8,350;29,251;39,000;5,020;2,100;1153,789;601,378;177,082;132,817;
20,490;5,400;12,411;34,495;46,700;8,200;1,150;1210,926;855,579;267,758;257,425;
23,698;10,500;16,505;28,498;53,800;10,100;0,720;1815,381;960,432;371,956;289,519;
26,900;15,700;20,610;22,598;65,000;12,800;0,540;1987,364;1176,283;491,123;321,374;
29,450;20,700;24,695;16,699;82,000;14,400;0,150;2536,123;1293,657;512,859;549,173;
32,750;25,750;21,750;9,748;95,400;16,700;0,550;2292,341;1578,624;653,717;784,136;
28,200;30,775;18,806;4,775;102,800;18,500;1,760;1988,324;2354,324;717,965;879,152;
24,950;35,800;15,850;2,798;117,000;21,300;2,230;1326,939;3478,926;955,912;901,239;
20,840;40,850;12,050;7,850;129,780;25,700;4,610;857,128;4588,675;1169,359;1225,482;
16,910;34,855;9,910;13,855;99,000;29,900;6,160;605,327;5499,367;1292,924;1340,976;
10,952;22,865;5,925;19,865;85,500;32,500;8,250;458,386;6468,567;1318,549;1875,846;
4,929;16,885;1,011;25,875;71,900;28,700;12,370;218,859;7353,932;1257,354;1916,124;
2,933;4,915;5,933;31,899;57,500;24,200;14,260;195,737;9335,124;984,167;863,928;
1,935;8,950;10,935;37,951;43,580;19,100;16,510;106,168;11261,946;716,375;703,153;
3,950;16,975;16,950;42,975;29,400;16,700;19,740;185,761;12151,387;541,326;631,195;
9,810;20,955;22,950;35,015;15,500;21,000;15,140;790,639;13910,519;475,651;571,588;
12,750;24,975;28,108;27,975;12,500;23,560;13,350;1323,784;15485,142;244,856;436,847;
15,150;28,950;34,251;19,952;9,800;25,300;8,580;1831,498;17688,125;448,314;341,842;
18,200;32,900;38,204;12,915;6,500;28,700;6,740;2321,321;19883,435;644,716;239,425;
21,450;36,875;34,248;6,875;4,400;31,560;4,850;2891,845;14972,834;829,942;122,147;
24,325;40,865;28,325;1,865;2,500;37,100;6,210;3308,614;9080,562;949,316;95,954;
27,350;46,855;23,351;5,855;1,300;34,700;9,520;3529,956;7887,987;1148,231;150,492;
30,400;52,850;18,408;9,850;4,700;26,200;10,750;4730,129;5688,951;1347,987;254,897;
34,500;47,775;13,495;14,775;11,200;23,700;12,950;5917,152;3455,494;1542,967;458,289;
29,600;42,750;8,607;19,750;14,700;20,360;8,100;8678,654;1211,209;1732,856;672,164;
24,700;37,710;3,697;25,697;17,800;17,700;4,150;9212,145;996,197;1915,632;853,356;
19,750;32,603;1,750;31,605;20,100;13,340;2,360;12886,243;677,325;1493,135;427,168;
14,800;27,495;2,798;37,495;40,520;11,720;1,350;12362,345;364,615;1177,824;206,123;
9,850;22,394;5,850;44,415;65,200;9,900;2,130;10632,879;152,534;963,453;182,659;
4,907;17,245;8,913;36,255;80,760;7,740;4,570;9267,156;45,178;779,167;93,834;
1,910;12,192;12,910;28,205;91,100;6,360;6,750;7070,531;36,176;580,836;71,345;
6,925;7,175;17,925;19,175;109,500;5,700;9,260;4984,243;20,364;287,192;66,841;
12,929;2,125;22,929;9,125;122,900;4,750;11,790;2881,956;10,428;185,834;93,952;
18,010;1,105;27,933;3,091;128,300;3,650;13,120;1616,829;8,475;301,985;109,463;
24,935;3,010;21,935;1,985;94,500;3,520;15,360;973,329;16,924;528,591;233,415;
19,950;13,110;15,950;4,115;57,600;2,720;12,850;449,421;54,183;602,861;308,613;
14,020;18,115;3,995;9,115;35,800;2,340;10,340;225,356;96,324;705,817;407,319;
9,050;12,128;9,950;15,120;15,260;2,160;12,680;176,578;176,457;978,473;282,263;
4,935;6,131;17,935;22,130;9,520;1,760;14,320;170,948;195,814;1081,417;184,132;
1,925;2,135;25,925;29,135;4,800;1,480;16,160;168,334;204,549;1178,653;61,953;
