x11;x12;x21;x22;x31;x32;x33;y1;y2;y3;y4
0,1;0,2;0,3;0,4;0,5;0,6;0,7;7,9365;4,547688;0,801869;0,119987
0,2;0,3;0,4;0,5;0,6;0,7;0,8;11,21875;1,890384;1,479495;0,374644
0,3;0,4;0,5;0,6;0,7;0,8;0,9;17,71544;1,222225;1,328362;0,682022
0,4;0,5;0,6;0,7;0,8;0,9;1;9,11836;1,832328;1,676315;4,872026
0,5;0,6;0,7;0,8;0,9;1;0,1;7,549978;1,590182;17,37797;8,801038
0,6;0,7;0,8;0,9;1;0,1;0,2;8,542536;1,326691;3,313404;1,980978
0,7;0,8;0,9;1;0,1;0,2;0,3;5,561438;1,505732;3,50597;2,546557
0,8;0,9;1;0,1;0,2;0,3;0,4;10,277052;11,785362;1,89941;1,314689
0,9;1;0,1;0,2;0,3;0,4;0,5;3,167;1,639647;1,649217;1,594511
1;0,1;0,2;0,3;0,4;0,5;0,6;4,842161;5,95181;1,250931;0,846673
0,1;0,2;0,3;0,4;0,5;0,6;0,7;4,604236;3,147089;0,590717;0,128808
0,2;0,3;0,4;0,5;0,6;0,7;0,8;11,2643;0,38775;1,274238;0,416578
0,3;0,4;0,5;0,6;0,7;0,8;0,9;6,489882;0,834699;1,241998;2,229534
0,4;0,5;0,6;0,7;0,8;0,9;1;10,03773;1,53636;2,318899;5,880715
0,5;0,6;0,7;0,8;0,9;1;0,1;6,011635;1,527918;1,235336;2,523813
0,6;0,7;0,8;0,9;1;0,1;0,2;5,876103;1,88011;8,63539;1,979993
0,7;0,8;0,9;1;0,1;0,2;0,3;8,389618;1,009955;4,157769;2,327825
0,8;0,9;1;0,1;0,2;0,3;0,4;3,688077;7,542901;2,443695;3,390519
0,9;1;0,1;0,2;0,3;0,4;0,5;3,95483;2,938639;3,150956;1,511092
1;0,1;0,2;0,3;0,4;0,5;0,6;4,005693;1,112283;1,51112;0,837446
0,1;0,2;0,3;0,4;0,5;0,6;0,7;17,47966;0,138018;0,783525;0,156697
0,2;0,3;0,4;0,5;0,6;0,7;0,8;7,426851;0,731431;1,35616;0,841923
0,3;0,4;0,5;0,6;0,7;0,8;0,9;6,957012;0,655745;0,987224;9,777008
0,4;0,5;0,6;0,7;0,8;0,9;1;8,56587;1184751;1,735836;1,825796
0,5;0,6;0,7;0,8;0,9;1;0,1;5,984332;1,109914;15,43216;3,976453
0,6;0,7;0,8;0,9;1;0,1;0,2;5,716426;1,116735;5,087297;2,365669
0,7;0,8;0,9;1;0,1;0,2;0,3;5,204267;1,658519;3,011189;2,033238
0,8;0,9;1;0,1;0,2;0,3;0,4;9,147076;14,03578;2,239021;2,348903
0,9;1;0,1;0,2;0,3;0,4;0,5;6,772665;2,222949;3,805971;1,59734
1;0,1;0,2;0,3;0,4;0,5;0,6;2,379775;2,940966;3,448381;0,565375
