x11;x12;x21;x22;x31;x32;x33;y1;y2;y3;y4;
0;1;0;1;0;0,5;2,18;0,9472;1,592;3,08471;1,5208;
0,1;0,9;0,19;0,91;0,18;0,6;2,22;0,97999;1,61249;3,10882;1,56998;
0,2;0,8;0,29;0,81;0,28;0,7;2,23;0,98424;1,61515;3,11194;1,57637;
0,3;0,7;0,39;0,71;0,38;0,8;2,24;0,99938;1,62461;3,12307;1,59907;
0,4;0,6;0,49;0,61;0,48;0,9;2,28;1,0254;1,64087;3,1422;1,6381;
0,5;0,5;0,59;0,51;0,58;1;2,32;1,06229;1,66393;3,16933;1,69344;
0,6;0,4;0,69;0,41;0,68;0,4;2,17;0,94207;1,58879;3,08093;1,5131;
0,7;0,3;0,79;0,31;0,78;0,3;2,19;0,95272;1,59545;3,08877;1,52909;
0,8;0,2;0,89;0,21;0,88;0,2;2,21;0,97426;1,60891;3,1046;1,56139;
0,9;0,1;0,99;0,11;0,98;0,1;2,25;1,00668;1,62917;3,12844;1,61002;
1;0;1;0;1;0;2,19;0,9552;1,597;3,09059;1,5328;
2;1,5;1,8;1,1;2;1,2;6,47;4,38176;3,7386;5,61012;6,67264;
1,2;1,3;1,4;1,5;1,6;1,7;5,52;3,62048;3,2628;5,05035;5,53072;
0,8;0,1;0,7;0,6;0,5;0,6;1,95;0,76416;1,4776;2,95012;1,24624;
0,7;0,2;0,6;0,7;0,4;0,7;1,98;0,78432;1,4902;2,96494;1,27648;
0,6;0,3;0,5;0,8;0,3;0,8;2,01;0,81536;1,5096;2,98776;1,32304;
0,5;0,4;0,4;0,9;0,2;0,9;2,07;0,85728;1,5358;3,01859;1,38592;
0,4;0,5;0,3;1;0,1;1;2,13;0,91008;1,5688;3,05741;1,46512;
0,3;0,6;0,2;1,8;0;1,1;2,71;1,37024;1,8564;3,39576;2,15536;
0,2;0,7;0,1;0;1,1;1,2;2,80;1,44768;1,9048;3,45271;2,27152;
0,1;0,8;0;0,1;0,3;0,5;1,89;0,71328;1,4458;2,91271;1,16992;
0;0,9;1,1;0,2;0,4;0,4;2,20;0,96512;1,6032;3,09788;1,54768;
0,9;1;1,5;0,3;0,5;0,3;2,79;1,43584;1,8974;3,444;2,25376;
1,8;1,1;1,9;0,4;0,6;0,2;3,39;1,91744;2,1984;3,79812;2,97616;
0,1;1,2;1,9;1,3;0,7;0,1;3,26;1,81216;2,1326;3,72071;2,81824;
0;1,3;0,2;0,5;0,8;0;2,67;1,33632;1,8352;3,37082;2,10448;
0,7;0,6;0,5;0,4;0,3;0,2;2,01;0,81248;1,5078;2,98565;1,31872;
0,6;0,5;0,4;0,3;0,4;0,4;1,96;0,77152;1,4822;2,95553;1,25728;
0,5;0,4;0,3;0,2;0,5;0,6;1,92;0,74144;1,4634;2,93341;1,21216;
0,4;0,3;0,2;0,1;0,6;0,8;1,90;0,72224;1,4514;2,91929;1,18336;
0,3;0,2;0,1;0;0,7;1;1,89;0,71392;1,4462;2,91318;1,17088;
0,2;0,1;0;1,5;0,8;1,2;2,50;1,20032;1,7502;3,27082;1,90048;
0,1;0;0,4;1,3;0,9;1,4;2,48;1,18432;1,7402;3,25906;1,87648;
0;0,3;1,3;1,1;1;1,6;2,94;1,55776;1,9736;3,53365;2,43664;
0,5;0,4;0,5;0,9;1,1;1,8;3,16;1,72864;2,0804;3,65929;2,69296;
0,4;0,5;0,4;0,7;1,2;2;3,30;1,84096;2,1506;3,74188;2,86144;
0,3;0,6;0,3;0,5;1,3;0,8;3,04;1,63872;2,0242;3,59318;2,55808;
0,2;0,7;0,25;0,3;1,4;0,3;3,04;1,63392;2,0212;3,58965;2,55088;
0,1;0,8;0,14;0,1;1,5;0,4;3,23;1,78496;2,1156;3,70071;2,77744;
0;0,9;0,03;0;1,6;0,1;3,33;1,86528;2,1658;3,75976;2,89792;
